V0037893,"(1993, 1306)"
V0037894,"(2035, 1342)"
V0037895,"(2047, 1317)"
V0037896,"(2046, 1318)"
V0037898,"(3258, 2140)"
V0037899,"(3270, 2145)"
V0037900,"(3304, 2134)"
V0037901,"(3307, 2118)"
V0037902,"(2226, 3147)"
V0037903,"(3160, 2296)"
V0037904EB,"(2170, 1402)"
V0037904ET,"(2161, 1390)"
V0037905,"(3307, 2121)"
V0037906,"(3307, 2157)"
V0037907,"(3307, 2149)"
V0037908,"(3307, 2143)"
V0037909,"(3306, 2146)"
V0037910,"(3305, 2123)"
V0037910EB,"(1824, 1409)"
V0037910ET,"(1824, 1395)"
V0037911,"(3307, 2160)"
V0037912,"(3306, 2150)"
V0037913,"(3304, 2152)"
V0037914,"(3305, 2131)"
V0037915,"(3252, 2145)"
V0037916,"(3305, 2122)"
V0037917,"(3307, 2144)"
V0037918,"(3272, 2142)"
V0037919,"(3254, 2147)"
V0037920,"(3308, 2160)"
V0037921,"(3306, 2139)"
V0037922,"(3306, 2130)"
V0037923,"(3368, 2172)"
V0037924,"(3304, 2139)"
V0037925,"(3305, 2185)"
V0037926,"(3306, 2128)"
V0037927,"(3305, 2161)"
V0037928,"(3304, 2118)"
V0037929,"(3306, 2156)"
V0037930EL,"(2142, 3269)"
V0037930ER,"(2127, 3282)"
V0037932EB,"(3190, 2260)"
V0037932ET,"(3141, 2219)"
V0037934,"(2255, 3125)"
V0037935,"(3188, 2233)"
V0037936,"(3069, 2286)"
V0037937,"(3070, 2279)"
V0037938,"(3115, 2252)"
V0037939,"(2888, 2416)"
V0037940,"(2968, 2416)"
V0037941,"(2952, 2415)"
V0037942,"(2944, 2412)"
V0037943,"(3029, 2310)"
V0037944,"(2999, 2334)"
V0037945,"(2987, 2338)"
V0037946,"(2397, 2958)"
V0037947,"(3188, 2211)"
V0037948,"(3129, 2258)"
V0037949,"(3187, 2197)"
V0037950,"(2255, 3116)"
V0037952,"(2257, 3116)"
V0037953,"(3128, 2231)"
V0037954,"(3129, 2238)"
V0037955,"(3009, 2325)"
V0037956,"(3130, 2251)"
V0037957,"(2077, 3407)"
V0037958,"(2125, 3360)"
V0037959,"(2289, 3092)"
V0037960,"(3306, 2113)"
V0037961,"(1770, 2482)"
V0037962,"(1770, 2466)"
V0037963,"(3306, 2172)"
V0037964,"(3222, 2167)"
V0037965,"(1771, 2850)"
V0037966,"(2496, 1769)"
V0037967,"(2303, 1770)"
V0037968,"(2708, 1771)"
